"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"When request body without old password, /api/v1/account/change-password returns 401.","210","When request body without old password, /api/v1/account/change-password returns 401","Unit Tests","Sun Oct 26 21:36:50 GMT 2025","failed","Sun Oct 26 21:36:51 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithoutOldPassword"
"When request with invalid access token header, /api/v1/account/change-password returns 401.","85","When request with invalid access token header, /api/v1/account/change-password returns 401","Unit Tests","Sun Oct 26 21:36:52 GMT 2025","passed","Sun Oct 26 21:36:52 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithInvalidToken"
"When request without access token header, /api/v1/account/change-password returns 401.","92","When request without access token header, /api/v1/account/change-password returns 401","Unit Tests","Sun Oct 26 21:36:51 GMT 2025","failed","Sun Oct 26 21:36:51 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithoutToken"
"When request without body, /api/v1/auth/login returns 400.","224","When request without body, /api/v1/auth/login returns 400","Unit Tests","Sun Oct 26 21:36:49 GMT 2025","passed","Sun Oct 26 21:36:49 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithoutBody"
"When request body with wrong password, /api/v1/auth/login returns 401.","288","When request body with wrong password, /api/v1/auth/login returns 401","Unit Tests","Sun Oct 26 21:36:49 GMT 2025","passed","Sun Oct 26 21:36:49 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithWrongPassword"
"When request is valid, /api/v1/auth/login returns 200 and valid response.","210","When request is valid, /api/v1/auth/login returns 200 and valid response","Unit Tests","Sun Oct 26 21:36:48 GMT 2025","passed","Sun Oct 26 21:36:48 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginSuccess"
"When request with invalid refresh token header, /api/v1/auth/refresh returns 401.","1496","When request with invalid refresh token header, /api/v1/auth/refresh returns 401","Unit Tests","Sun Oct 26 21:36:44 GMT 2025","failed","Sun Oct 26 21:36:45 GMT 2025","/api/v1/auth/refresh","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshWithInvalidRefreshToken"
"When request without body, /api/v1/account/recovery-password returns 400.","93","When request without body, /api/v1/account/recovery-password returns 400","Unit Tests","Sun Oct 26 21:36:50 GMT 2025","passed","Sun Oct 26 21:36:50 GMT 2025","/api/v1/account/recovery-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$PasswordRecoveryTests","RecoverPasswordWithoutBody"
"When request body without new password, /api/v1/account/change-password returns 401.","199","When request body without new password, /api/v1/account/change-password returns 401","Unit Tests","Sun Oct 26 21:36:52 GMT 2025","passed","Sun Oct 26 21:36:52 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithoutNewPassword"
"When request is valid, /api/v1/account/recovery-password returns 204 and valid response.","94","When request is valid, /api/v1/account/recovery-password returns 204 and valid response","Unit Tests","Sun Oct 26 21:36:50 GMT 2025","passed","Sun Oct 26 21:36:50 GMT 2025","/api/v1/account/recovery-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$PasswordRecoveryTests","RecoverPasswordSuccess"
