"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"When request body without new password, /api/v1/account/change-password returns 401.","210","When request body without new password, /api/v1/account/change-password returns 401","Unit Tests","Wed Oct 22 23:38:35 GMT 2025","passed","Wed Oct 22 23:38:35 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithoutNewPassword"
"When request without body, /api/v1/auth/refresh returns 400.","272","When request without body, /api/v1/auth/refresh returns 400","Unit Tests","Wed Oct 22 23:38:30 GMT 2025","passed","Wed Oct 22 23:38:30 GMT 2025","/api/v1/auth/refresh","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshWithoutBody"
"When request body with invalid email, /api/v1/account/recovery-password returns 401.","98","When request body with invalid email, /api/v1/account/recovery-password returns 401","Unit Tests","Wed Oct 22 23:38:33 GMT 2025","failed","Wed Oct 22 23:38:33 GMT 2025","/api/v1/account/recovery-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$PasswordRecoveryTests","RecoverPasswordWithInvalidEmail"
"When request is valid, /api/v1/account/me returns 200 and valid response.","216","When request is valid, /api/v1/account/me returns 200 and valid response","Unit Tests","Wed Oct 22 23:38:36 GMT 2025","passed","Wed Oct 22 23:38:36 GMT 2025","/api/v1/account/me","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$AccountMeTests","GetUserAccountInfoSuccess"
"When request is valid, /api/v1/auth/refresh returns 200.","1926","When request is valid, /api/v1/auth/refresh returns 200","Unit Tests","Wed Oct 22 23:38:28 GMT 2025","passed","Wed Oct 22 23:38:30 GMT 2025","/api/v1/auth/refresh","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshSuccess"
"When request without access token header, /api/v1/auth/logout returns 401.","126","When request without access token header, /api/v1/auth/logout returns 401","Unit Tests","Wed Oct 22 23:38:30 GMT 2025","failed","Wed Oct 22 23:38:30 GMT 2025","/api/v1/auth/logout","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LogoutTests","TestLogoutWithoutBearerToken"
"When request without invalid access token header, /api/v1/account/me returns 401.","89","When request without invalid access token header, /api/v1/account/me returns 401","Unit Tests","Wed Oct 22 23:38:35 GMT 2025","passed","Wed Oct 22 23:38:36 GMT 2025","/api/v1/account/me","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$AccountMeTests","GetUserAccountInfoWithInvalidToken"
"When request with invalid access token header, /api/v1/auth/login returns 401.","97","When request with invalid access token header , /api/v1/auth/login returns 401","Unit Tests","Wed Oct 22 23:38:32 GMT 2025","passed","Wed Oct 22 23:38:32 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithInvalidToken"
"When request body with empty old password, /api/v1/account/change-password returns 401.","293","When request body with empty old password, /api/v1/account/change-password returns 401","Unit Tests","Wed Oct 22 23:38:35 GMT 2025","passed","Wed Oct 22 23:38:35 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithEmptyOldPassword"
"When request with empty body, /api/v1/account/change-password returns 400.","227","When request with empty body, /api/v1/account/change-password returns 400","Unit Tests","Wed Oct 22 23:38:34 GMT 2025","failed","Wed Oct 22 23:38:34 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithEmptyBody"
"When request is valid, /api/v1/auth/login returns 200 and valid response.","237","When request is valid, /api/v1/auth/login returns 200 and valid response","Unit Tests","Wed Oct 22 23:38:31 GMT 2025","passed","Wed Oct 22 23:38:31 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginSuccess"
"When request with invalid refresh token header, /api/v1/auth/refresh returns 401.","1025","When request with invalid refresh token header, /api/v1/auth/refresh returns 401","Unit Tests","Wed Oct 22 23:38:27 GMT 2025","failed","Wed Oct 22 23:38:28 GMT 2025","/api/v1/auth/refresh","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshWithInvalidRefreshToken"
"When request body with wrong password, /api/v1/auth/login returns 401.","309","When request body with wrong password, /api/v1/auth/login returns 401","Unit Tests","Wed Oct 22 23:38:32 GMT 2025","passed","Wed Oct 22 23:38:32 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithWrongPassword"
"When request without body, /api/v1/account/change-password returns 400.","260","When request without body, /api/v1/account/change-password returns 400","Unit Tests","Wed Oct 22 23:38:33 GMT 2025","passed","Wed Oct 22 23:38:34 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithoutBody"
"When request body without old password, /api/v1/account/change-password returns 401.","227","When request body without old password, /api/v1/account/change-password returns 401","Unit Tests","Wed Oct 22 23:38:34 GMT 2025","failed","Wed Oct 22 23:38:34 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithoutOldPassword"
"When request without body, /api/v1/account/recovery-password returns 400.","102","When request without body, /api/v1/account/recovery-password returns 400","Unit Tests","Wed Oct 22 23:38:33 GMT 2025","passed","Wed Oct 22 23:38:33 GMT 2025","/api/v1/account/recovery-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$PasswordRecoveryTests","RecoverPasswordWithoutBody"
"When request with empty refresh token header, /api/v1/auth/refresh returns 401.","136","When request with empty refresh token header, /api/v1/auth/refresh returns 401","Unit Tests","Wed Oct 22 23:38:28 GMT 2025","failed","Wed Oct 22 23:38:28 GMT 2025","/api/v1/auth/refresh","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshWithEmptyRefreshToken"
