"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"When request is valid, /api/v1/auth/logout returns 204.","217","When request is valid, /api/v1/auth/logout returns 204","Unit Tests","Mon Oct 27 18:03:42 GMT 2025","passed","Mon Oct 27 18:03:43 GMT 2025","/api/v1/auth/logout","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LogoutTests","TestLogoutSuccess"
"When request body with empty new password, /api/v1/account/change-password returns 401.","349","When request body with empty new password, /api/v1/account/change-password returns 401","Unit Tests","Mon Oct 27 18:03:46 GMT 2025","failed","Mon Oct 27 18:03:46 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithEmptyNewPassword"
"When request body without new password, /api/v1/account/change-password returns 401.","211","When request body without new password, /api/v1/account/change-password returns 401","Unit Tests","Mon Oct 27 18:03:47 GMT 2025","passed","Mon Oct 27 18:03:47 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithoutNewPassword"
"When request without access token header, /api/v1/auth/logout returns 401.","117","When request without access token header, /api/v1/auth/logout returns 401","Unit Tests","Mon Oct 27 18:03:42 GMT 2025","failed","Mon Oct 27 18:03:42 GMT 2025","/api/v1/auth/logout","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LogoutTests","TestLogoutWithoutBearerToken"
"When request without access token header, /api/v1/account/change-password returns 401.","89","When request without access token header, /api/v1/account/change-password returns 401","Unit Tests","Mon Oct 27 18:03:45 GMT 2025","failed","Mon Oct 27 18:03:45 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithoutToken"
"When request with empty refresh token header, /api/v1/auth/refresh returns 401.","117","When request with empty refresh token header, /api/v1/auth/refresh returns 401","Unit Tests","Mon Oct 27 18:03:40 GMT 2025","failed","Mon Oct 27 18:03:40 GMT 2025","/api/v1/auth/refresh","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshWithEmptyRefreshToken"
"When request body without email, /api/v1/auth/login returns 400.","209","When request body without email, /api/v1/auth/login returns 400","Unit Tests","Mon Oct 27 18:03:43 GMT 2025","failed","Mon Oct 27 18:03:43 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithoutEmail"
"When request with empty body, /api/v1/auth/login returns 400.","205","When request with empty body, /api/v1/auth/login returns 400","Unit Tests","Mon Oct 27 18:03:44 GMT 2025","failed","Mon Oct 27 18:03:44 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithEmptyBody"
"When request without body, /api/v1/auth/refresh returns 400.","239","When request without body, /api/v1/auth/refresh returns 400","Unit Tests","Mon Oct 27 18:03:42 GMT 2025","passed","Mon Oct 27 18:03:42 GMT 2025","/api/v1/auth/refresh","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshWithoutBody"
"When request with invalid access token header, /api/v1/auth/login returns 401.","85","When request with invalid access token header , /api/v1/auth/login returns 401","Unit Tests","Mon Oct 27 18:03:44 GMT 2025","passed","Mon Oct 27 18:03:44 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithInvalidToken"
"When request body without old password, /api/v1/account/change-password returns 401.","220","When request body without old password, /api/v1/account/change-password returns 401","Unit Tests","Mon Oct 27 18:03:45 GMT 2025","failed","Mon Oct 27 18:03:45 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithoutOldPassword"
"When request without body, /api/v1/account/change-password returns 400.","219","When request without body, /api/v1/account/change-password returns 400","Unit Tests","Mon Oct 27 18:03:45 GMT 2025","passed","Mon Oct 27 18:03:45 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithoutBody"
"When request is valid, /api/v1/account/me returns 200 and valid response.","203","When request is valid, /api/v1/account/me returns 200 and valid response","Unit Tests","Mon Oct 27 18:03:47 GMT 2025","passed","Mon Oct 27 18:03:47 GMT 2025","/api/v1/account/me","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$AccountMeTests","GetUserAccountInfoSuccess"
"When request body with wrong password, /api/v1/auth/login returns 401.","290","When request body with wrong password, /api/v1/auth/login returns 401","Unit Tests","Mon Oct 27 18:03:44 GMT 2025","passed","Mon Oct 27 18:03:44 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithWrongPassword"
"When request without body, /api/v1/auth/login returns 400.","211","When request without body, /api/v1/auth/login returns 400","Unit Tests","Mon Oct 27 18:03:43 GMT 2025","passed","Mon Oct 27 18:03:44 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithoutBody"
"When request without access token header, /api/v1/account/me returns 401.","87","When request without access token header, /api/v1/account/me returns 401","Unit Tests","Mon Oct 27 18:03:47 GMT 2025","failed","Mon Oct 27 18:03:47 GMT 2025","/api/v1/account/me","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$AccountMeTests","GetUserAccountInfoWithoutToken"
"When request is valid, /api/v1/account/change-password returns 204 and valid response.","342","When request is valid, /api/v1/account/change-password returns 204 and valid response","Unit Tests","Mon Oct 27 18:03:46 GMT 2025","passed","Mon Oct 27 18:03:46 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordSuccess"
"When request body with empty email, /api/v1/account/recovery-password returns 401.","91","When request body with empty email, /api/v1/account/recovery-password returns 401","Unit Tests","Mon Oct 27 18:03:44 GMT 2025","failed","Mon Oct 27 18:03:45 GMT 2025","/api/v1/account/recovery-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$PasswordRecoveryTests","RecoverPasswordWithEmptyEmail"
"When request without body, /api/v1/account/recovery-password returns 400.","96","When request without body, /api/v1/account/recovery-password returns 400","Unit Tests","Mon Oct 27 18:03:45 GMT 2025","passed","Mon Oct 27 18:03:45 GMT 2025","/api/v1/account/recovery-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$PasswordRecoveryTests","RecoverPasswordWithoutBody"
"When request with invalid refresh token header, /api/v1/auth/refresh returns 401.","1216","When request with invalid refresh token header, /api/v1/auth/refresh returns 401","Unit Tests","Mon Oct 27 18:03:39 GMT 2025","failed","Mon Oct 27 18:03:40 GMT 2025","/api/v1/auth/refresh","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshWithInvalidRefreshToken"
"When request body with invalid email, /api/v1/account/recovery-password returns 401.","86","When request body with invalid email, /api/v1/account/recovery-password returns 401","Unit Tests","Mon Oct 27 18:03:45 GMT 2025","failed","Mon Oct 27 18:03:45 GMT 2025","/api/v1/account/recovery-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$PasswordRecoveryTests","RecoverPasswordWithInvalidEmail"
"When request with empty body, /api/v1/account/recovery-password returns 400.","89","When request with empty body, /api/v1/account/recovery-password returns 400","Unit Tests","Mon Oct 27 18:03:45 GMT 2025","failed","Mon Oct 27 18:03:45 GMT 2025","/api/v1/account/recovery-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$PasswordRecoveryTests","RecoverPasswordWithEmptyBody"
"When request without invalid access token header, /api/v1/account/me returns 401.","85","When request without invalid access token header, /api/v1/account/me returns 401","Unit Tests","Mon Oct 27 18:03:47 GMT 2025","passed","Mon Oct 27 18:03:47 GMT 2025","/api/v1/account/me","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$AccountMeTests","GetUserAccountInfoWithInvalidToken"
"When request is valid, /api/v1/auth/login returns 200 and valid response.","209","When request is valid, /api/v1/auth/login returns 200 and valid response","Unit Tests","Mon Oct 27 18:03:43 GMT 2025","passed","Mon Oct 27 18:03:43 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginSuccess"
"When request with empty body, /api/v1/account/change-password returns 400.","196","When request with empty body, /api/v1/account/change-password returns 400","Unit Tests","Mon Oct 27 18:03:45 GMT 2025","failed","Mon Oct 27 18:03:46 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithEmptyBody"
"When request is valid, /api/v1/account/recovery-password returns 204 and valid response.","88","When request is valid, /api/v1/account/recovery-password returns 204 and valid response","Unit Tests","Mon Oct 27 18:03:45 GMT 2025","passed","Mon Oct 27 18:03:45 GMT 2025","/api/v1/account/recovery-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$PasswordRecoveryTests","RecoverPasswordSuccess"
"When request body with empty old password, /api/v1/account/change-password returns 401.","266","When request body with empty old password, /api/v1/account/change-password returns 401","Unit Tests","Mon Oct 27 18:03:46 GMT 2025","passed","Mon Oct 27 18:03:47 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithEmptyOldPassword"
"When request body with wrong email, /api/v1/auth/login returns 401.","294","When request body with wrong email, /api/v1/auth/login returns 401","Unit Tests","Mon Oct 27 18:03:44 GMT 2025","passed","Mon Oct 27 18:03:44 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithWrongEmail"
"When request with invalid access token header, /api/v1/account/change-password returns 401.","85","When request with invalid access token header, /api/v1/account/change-password returns 401","Unit Tests","Mon Oct 27 18:03:47 GMT 2025","passed","Mon Oct 27 18:03:47 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithInvalidToken"
"When request is valid, /api/v1/auth/refresh returns 200.","1903","When request is valid, /api/v1/auth/refresh returns 200","Unit Tests","Mon Oct 27 18:03:40 GMT 2025","passed","Mon Oct 27 18:03:42 GMT 2025","/api/v1/auth/refresh","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshSuccess"
"When request with invalid body, /api/v1/auth/login returns 400.","219","When request with invalid body, /api/v1/auth/login returns 400","Unit Tests","Mon Oct 27 18:03:43 GMT 2025","passed","Mon Oct 27 18:03:43 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithInvalidBody"
