"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"When request without access token header, DELETE /api/v1/rooms/{id} returns 401.","81","When request without access token header, DELETE /api/v1/rooms/{id} returns 401","Controller tests","Wed Nov 26 08:48:35 UTC 2025","failed","Wed Nov 26 08:48:36 UTC 2025","DELETE /api/v1/rooms/{id}","Room API Controller Tests","education.kub.backend.ce.domain.room.controller.RoomControllerTests$RoomsTests$RoomTests$DeleteRoomTests","DeleteRoomWithoutToken"
"When request without access token header, GET /api/v1/educational-programs/{id} returns 401.","86","When request without access token header, GET /api/v1/educational-programs/{id} returns 401","Controller tests","Wed Nov 26 08:48:32 UTC 2025","failed","Wed Nov 26 08:48:32 UTC 2025","GET /api/v1/educational-programs/{id}","Educational Program API Controller Tests","education.kub.backend.ce.domain.educational_program.controller.EducationalProgramControllerTests$EducationalProgramsTests$EducationalProgramTests$GetEducationalProgramTests","GetProgramWithoutToken"
"When request without access token header, DELETE /api/v1/users/{id}/roles/{role-id} returns 401.","82","When request without access token header, DELETE /api/v1/users/{id}/roles/{role-id} returns 401","Controller tests","Wed Nov 26 08:48:56 UTC 2025","failed","Wed Nov 26 08:48:56 UTC 2025","DELETE /api/v1/users/{id}/roles/{role-id}","User API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$UsersTests$UserTests$UserRoleTests$RemoveRoleTests","RemoveRoleWithoutToken"
"When request body with negative capacity field value, POST /api/v1/rooms returns 422.","184","When request body with negative capacity field value, POST /api/v1/rooms returns 422","Controller tests","Wed Nov 26 08:48:43 UTC 2025","failed","Wed Nov 26 08:48:43 UTC 2025","POST /api/v1/rooms","Room API Controller Tests","education.kub.backend.ce.domain.room.controller.RoomControllerTests$RoomsTests$CreateRoomTests","CreateRoomWithNegativeCapacityFieldValue"
"When request is valid, GET /api/v1/users/{id} returns 200 and valid response.","191","When request is valid, GET /api/v1/users/{id} returns 200 and valid response [3] user_creator_role=ORGANIZER","Controller tests","Wed Nov 26 08:49:10 UTC 2025","passed","Wed Nov 26 08:49:10 UTC 2025","GET /api/v1/users/{id}","User API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$UsersTests$UserTests$GetUserTests","GetUserSuccessWithAllowedRoles"
"When request with invalid access token header, POST /api/v1/users returns 401.","76","When request with invalid access token header, POST /api/v1/users returns 401","Controller tests","Wed Nov 26 08:49:17 UTC 2025","passed","Wed Nov 26 08:49:17 UTC 2025","POST /api/v1/users","User API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$UsersTests$CreateUserTests","CreateUserWithInvalidToken"
"When request body with empty field, PUT /api/v1/rooms/{id} returns 422.","181","When request body with empty field, PUT /api/v1/rooms/{id} returns 422 [1] request_field=location","Controller tests","Wed Nov 26 08:48:40 UTC 2025","failed","Wed Nov 26 08:48:41 UTC 2025","PUT /api/v1/rooms/{id}","Room API Controller Tests","education.kub.backend.ce.domain.room.controller.RoomControllerTests$RoomsTests$RoomTests$UpdateRoomTests","UpdateRoomWithEmptyLocationField"
"When request with room id url parameter for not existing room, PUT /api/v1/rooms/{id} returns 404.","185","When request with room id url parameter for not existing room, PUT /api/v1/rooms/{id} returns 404","Controller tests","Wed Nov 26 08:48:38 UTC 2025","passed","Wed Nov 26 08:48:38 UTC 2025","PUT /api/v1/rooms/{id}","Room API Controller Tests","education.kub.backend.ce.domain.room.controller.RoomControllerTests$RoomsTests$RoomTests$UpdateRoomTests","UpdateRoomWithNonExistedRoom"
"When request body with not email field length what exceeds max possible length (32), POST /api/v1/users returns 422.","245","When request body with not email field length what exceeds max possible length (32), POST /api/v1/users returns 422 [3] request_field=middle_name","Controller tests","Wed Nov 26 08:49:08 UTC 2025","failed","Wed Nov 26 08:49:08 UTC 2025","PUT /api/v1/users/{id}","User API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$UsersTests$UserTests$UpdateUserTests","UpdateUserWithTooLongNotEmailField"
"When request body with negative duration field value, PUT /api/v1/programs/{id} returns 422.","183","When request body with negative duration field value, PUT /api/v1/programs/{id} returns 422","Controller tests","Wed Nov 26 08:48:31 UTC 2025","passed","Wed Nov 26 08:48:31 UTC 2025","PUT /api/v1/programs/{id}","Educational Program API Controller Tests","education.kub.backend.ce.domain.educational_program.controller.EducationalProgramControllerTests$EducationalProgramsTests$EducationalProgramTests$UpdateEducationalProgramTests","CreateProgramWithNegativeDurationFieldValue"
