"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"When request without body, POST /api/v1/auth/login returns 400.","167","When request without body, POST /api/v1/auth/login returns 400","Unit Tests","Wed Oct 29 04:25:45 GMT 2025","failed","Wed Oct 29 04:25:46 GMT 2025","POST /api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithoutBody"
"When request without body, POST /api/v1/auth/refresh returns 400.","179","When request without body, POST /api/v1/auth/refresh returns 400","Unit Tests","Wed Oct 29 04:25:44 GMT 2025","failed","Wed Oct 29 04:25:45 GMT 2025","POST /api/v1/auth/refresh","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshWithoutBody"
"When request with empty body, POST /api/v1/account/recovery-password returns 400.","85","When request with empty body, POST /api/v1/account/recovery-password returns 400","Unit Tests","Wed Oct 29 04:25:47 GMT 2025","failed","Wed Oct 29 04:25:47 GMT 2025","POST /api/v1/account/recovery-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$PasswordRecoveryTests","RecoverPasswordWithEmptyBody"
"When request is valid, POST /api/v1/auth/login returns 200 and valid response.","170","When request is valid, POST /api/v1/auth/login returns 200 and valid response","Unit Tests","Wed Oct 29 04:25:45 GMT 2025","failed","Wed Oct 29 04:25:45 GMT 2025","POST /api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginSuccess"
"When request with invalid access token header, POST /api/v1/account/change-password returns 401.","84","When request with invalid access token header, POST /api/v1/account/change-password returns 401","Unit Tests","Wed Oct 29 04:25:48 GMT 2025","passed","Wed Oct 29 04:25:48 GMT 2025","POST /api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$ChangePasswordTests","ChangePasswordWithInvalidToken"
"When request body with empty new password, POST /api/v1/account/change-password returns 422.","169","When request body with empty new password, POST /api/v1/account/change-password returns 422","Unit Tests","Wed Oct 29 04:25:47 GMT 2025","failed","Wed Oct 29 04:25:47 GMT 2025","POST /api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$ChangePasswordTests","ChangePasswordWithEmptyNewPassword"
"When request body with wrong password, POST /api/v1/auth/login returns 401.","167","When request body with wrong password, POST /api/v1/auth/login returns 401","Unit Tests","Wed Oct 29 04:25:46 GMT 2025","failed","Wed Oct 29 04:25:46 GMT 2025","POST /api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithWrongPassword"
"When request body without new password, POST /api/v1/account/change-password returns 400.","166","When request body without new password, POST /api/v1/account/change-password returns 400","Unit Tests","Wed Oct 29 04:25:48 GMT 2025","failed","Wed Oct 29 04:25:48 GMT 2025","POST /api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$ChangePasswordTests","ChangePasswordWithoutNewPassword"
"When request without invalid access token header, GET /api/v1/account/me returns 401.","84","When request without invalid access token header, GET /api/v1/account/me returns 401","Unit Tests","Wed Oct 29 04:25:48 GMT 2025","passed","Wed Oct 29 04:25:48 GMT 2025","GET /api/v1/account/me","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$AccountMeTests","GetUserAccountInfoWithInvalidToken"
"When request body with empty email, POST /api/v1/account/recovery-password returns 422.","95","When request body with empty email, POST /api/v1/account/recovery-password returns 422","Unit Tests","Wed Oct 29 04:25:46 GMT 2025","failed","Wed Oct 29 04:25:46 GMT 2025","POST /api/v1/account/recovery-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$PasswordRecoveryTests","RecoverPasswordWithEmptyEmail"
"When request with invalid refresh token header, POST /api/v1/auth/refresh returns 401.","1267","When request with invalid refresh token header, POST /api/v1/auth/refresh returns 401","Unit Tests","Wed Oct 29 04:25:43 GMT 2025","failed","Wed Oct 29 04:25:44 GMT 2025","POST /api/v1/auth/refresh","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshWithInvalidRefreshToken"
