"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"When request is valid, POST /api/v1/auth/refresh returns 200.","1468","When request is valid, POST /api/v1/auth/refresh returns 200","Unit Tests","Wed Oct 29 12:56:56 GMT 2025","passed","Wed Oct 29 12:56:57 GMT 2025","POST /api/v1/auth/refresh","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshSuccess"
"When request with empty body, POST /api/v1/auth/login returns 400.","207","When request with empty body, POST /api/v1/auth/login returns 400","Unit Tests","Wed Oct 29 12:56:59 GMT 2025","failed","Wed Oct 29 12:57:00 GMT 2025","POST /api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithEmptyBody"
"When request without access token header, POST /api/v1/account/change-password returns 401.","94","When request without access token header, POST /api/v1/account/change-password returns 401","Unit Tests","Wed Oct 29 12:57:01 GMT 2025","failed","Wed Oct 29 12:57:01 GMT 2025","POST /api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$ChangePasswordTests","ChangePasswordWithoutToken"
"When request body without email, POST /api/v1/auth/login returns 400.","215","When request body without email, POST /api/v1/auth/login returns 400","Unit Tests","Wed Oct 29 12:56:58 GMT 2025","failed","Wed Oct 29 12:56:58 GMT 2025","POST /api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithoutEmail"
"When request body without old password, POST /api/v1/account/change-password returns 401.","213","When request body without old password, POST /api/v1/account/change-password returns 401","Unit Tests","Wed Oct 29 12:57:00 GMT 2025","failed","Wed Oct 29 12:57:01 GMT 2025","POST /api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$ChangePasswordTests","ChangePasswordWithoutOldPassword"
"When request with empty body, POST /api/v1/account/change-password returns 400.","198","When request with empty body, POST /api/v1/account/change-password returns 400","Unit Tests","Wed Oct 29 12:57:01 GMT 2025","failed","Wed Oct 29 12:57:01 GMT 2025","POST /api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$ChangePasswordTests","ChangePasswordWithEmptyBody"
"When request with invalid access token header, POST /api/v1/auth/login returns 401.","87","When request with invalid access token header , POST /api/v1/auth/login returns 401","Unit Tests","Wed Oct 29 12:56:59 GMT 2025","passed","Wed Oct 29 12:56:59 GMT 2025","POST /api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithInvalidToken"
"When request with empty body, POST /api/v1/account/recovery-password returns 400.","86","When request with empty body, POST /api/v1/account/recovery-password returns 400","Unit Tests","Wed Oct 29 12:57:00 GMT 2025","failed","Wed Oct 29 12:57:00 GMT 2025","POST /api/v1/account/recovery-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$PasswordRecoveryTests","RecoverPasswordWithEmptyBody"
"When request body with wrong password, POST /api/v1/auth/login returns 401.","285","When request body with wrong password, POST /api/v1/auth/login returns 401","Unit Tests","Wed Oct 29 12:56:59 GMT 2025","passed","Wed Oct 29 12:56:59 GMT 2025","POST /api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithWrongPassword"
"When request is valid, POST /api/v1/auth/login returns 200 and valid response.","207","When request is valid, POST /api/v1/auth/login returns 200 and valid response","Unit Tests","Wed Oct 29 12:56:58 GMT 2025","passed","Wed Oct 29 12:56:58 GMT 2025","POST /api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginSuccess"
"When request is valid, GET /api/v1/account/me returns 200 and valid response.","195","When request is valid, GET /api/v1/account/me returns 200 and valid response","Unit Tests","Wed Oct 29 12:57:02 GMT 2025","passed","Wed Oct 29 12:57:03 GMT 2025","GET /api/v1/account/me","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$AccountMeTests","GetUserAccountInfoSuccess"
