"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"When request without body, POST /api/v1/account/change-password returns 400.","2","When request without body, POST /api/v1/account/change-password returns 400","","Wed Oct 29 00:51:10 GMT 2025","broken","Wed Oct 29 00:51:10 GMT 2025","","education.kub.backend.ce.domain.user.controller.AccountControllerTests.ChangePasswordTests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$ChangePasswordTests","ChangePasswordWithoutBody"
"When request body without old password, POST /api/v1/account/change-password returns 401.","1","When request body without old password, POST /api/v1/account/change-password returns 401","","Wed Oct 29 00:51:10 GMT 2025","broken","Wed Oct 29 00:51:10 GMT 2025","","education.kub.backend.ce.domain.user.controller.AccountControllerTests.ChangePasswordTests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$ChangePasswordTests","ChangePasswordWithoutOldPassword"
"When request body with wrong password, POST /api/v1/auth/login returns 401.","5","When request body with wrong password, POST /api/v1/auth/login returns 401","","Wed Oct 29 00:51:10 GMT 2025","broken","Wed Oct 29 00:51:10 GMT 2025","","education.kub.backend.ce.domain.auth.controller.AuthControllerTests.LoginTests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithWrongPassword"
"When request is valid, POST /api/v1/auth/login returns 200 and valid response.","8","When request is valid, POST /api/v1/auth/login returns 200 and valid response","","Wed Oct 29 00:51:10 GMT 2025","broken","Wed Oct 29 00:51:10 GMT 2025","","education.kub.backend.ce.domain.auth.controller.AuthControllerTests.LoginTests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginSuccess"
"When request body with wrong email, POST /api/v1/auth/login returns 401.","1","When request body with wrong email, POST /api/v1/auth/login returns 401","","Wed Oct 29 00:51:10 GMT 2025","broken","Wed Oct 29 00:51:10 GMT 2025","","education.kub.backend.ce.domain.auth.controller.AuthControllerTests.LoginTests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithWrongEmail"
"When request without body, POST /api/v1/account/recovery-password returns 400.","2","When request without body, POST /api/v1/account/recovery-password returns 400","","Wed Oct 29 00:51:10 GMT 2025","broken","Wed Oct 29 00:51:10 GMT 2025","","education.kub.backend.ce.domain.user.controller.AccountControllerTests.PasswordRecoveryTests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$PasswordRecoveryTests","RecoverPasswordWithoutBody"
"When request with empty body, POST /api/v1/account/change-password returns 400.","3","When request with empty body, POST /api/v1/account/change-password returns 400","","Wed Oct 29 00:51:10 GMT 2025","broken","Wed Oct 29 00:51:10 GMT 2025","","education.kub.backend.ce.domain.user.controller.AccountControllerTests.ChangePasswordTests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$ChangePasswordTests","ChangePasswordWithEmptyBody"
"When request body with empty email, POST /api/v1/account/recovery-password returns 422.","5","When request body with empty email, POST /api/v1/account/recovery-password returns 422","","Wed Oct 29 00:51:10 GMT 2025","broken","Wed Oct 29 00:51:10 GMT 2025","","education.kub.backend.ce.domain.user.controller.AccountControllerTests.PasswordRecoveryTests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$PasswordRecoveryTests","RecoverPasswordWithEmptyEmail"
"When request body with invalid email, POST /api/v1/account/recovery-password returns 422.","2","When request body with invalid email, POST /api/v1/account/recovery-password returns 422","","Wed Oct 29 00:51:10 GMT 2025","broken","Wed Oct 29 00:51:10 GMT 2025","","education.kub.backend.ce.domain.user.controller.AccountControllerTests.PasswordRecoveryTests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$PasswordRecoveryTests","RecoverPasswordWithInvalidEmail"
"When request is valid, POST /api/v1/account/change-password returns 204 and valid response.","5","When request is valid, POST /api/v1/account/change-password returns 204 and valid response","","Wed Oct 29 00:51:10 GMT 2025","broken","Wed Oct 29 00:51:10 GMT 2025","","education.kub.backend.ce.domain.user.controller.AccountControllerTests.ChangePasswordTests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$ChangePasswordTests","ChangePasswordSuccess"
"When request without body, POST /api/v1/auth/refresh returns 400.","5","When request without body, POST /api/v1/auth/refresh returns 400","","Wed Oct 29 00:51:10 GMT 2025","broken","Wed Oct 29 00:51:10 GMT 2025","","education.kub.backend.ce.domain.auth.controller.AuthControllerTests.RefreshTests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshWithoutBody"
"When request with invalid refresh token header, POST /api/v1/auth/refresh returns 401.","17","When request with invalid refresh token header, POST /api/v1/auth/refresh returns 401","","Wed Oct 29 00:51:10 GMT 2025","broken","Wed Oct 29 00:51:10 GMT 2025","","education.kub.backend.ce.domain.auth.controller.AuthControllerTests.RefreshTests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshWithInvalidRefreshToken"
"When request with empty body, POST /api/v1/auth/login returns 400.","1","When request with empty body, POST /api/v1/auth/login returns 400","","Wed Oct 29 00:51:10 GMT 2025","broken","Wed Oct 29 00:51:10 GMT 2025","","education.kub.backend.ce.domain.auth.controller.AuthControllerTests.LoginTests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithEmptyBody"
"When request with invalid body, POST /api/v1/auth/login returns 400.","2","When request with invalid body, POST /api/v1/auth/login returns 400","","Wed Oct 29 00:51:10 GMT 2025","broken","Wed Oct 29 00:51:10 GMT 2025","","education.kub.backend.ce.domain.auth.controller.AuthControllerTests.LoginTests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithInvalidBody"
"When request without invalid access token header, GET /api/v1/account/me returns 401.","2","When request without invalid access token header, GET /api/v1/account/me returns 401","","Wed Oct 29 00:51:10 GMT 2025","broken","Wed Oct 29 00:51:10 GMT 2025","","education.kub.backend.ce.domain.user.controller.AccountControllerTests.AccountMeTests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$AccountMeTests","GetUserAccountInfoWithInvalidToken"
"When request body without email, POST /api/v1/auth/login returns 400.","1","When request body without email, POST /api/v1/auth/login returns 400","","Wed Oct 29 00:51:10 GMT 2025","broken","Wed Oct 29 00:51:10 GMT 2025","","education.kub.backend.ce.domain.auth.controller.AuthControllerTests.LoginTests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithoutEmail"
