"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"When request body with empty email, POST /api/v1/account/recovery-password returns 422.","96","When request body with empty email, POST /api/v1/account/recovery-password returns 422","Unit Tests","Mon Nov 03 16:21:16 GMT 2025","failed","Mon Nov 03 16:21:16 GMT 2025","POST /api/v1/account/recovery-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$PasswordRecoveryTests","RecoverPasswordWithEmptyEmail"
"When request body with empty old password, POST /api/v1/account/change-password returns 401.","265","When request body with empty old password, POST /api/v1/account/change-password returns 401","Unit Tests","Mon Nov 03 16:21:18 GMT 2025","passed","Mon Nov 03 16:21:18 GMT 2025","POST /api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$ChangePasswordTests","ChangePasswordWithEmptyOldPassword"
"When request with invalid body, POST /api/v1/auth/login returns 400.","217","When request with invalid body, POST /api/v1/auth/login returns 400","Unit Tests","Mon Nov 03 16:21:15 GMT 2025","passed","Mon Nov 03 16:21:15 GMT 2025","POST /api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithInvalidBody"
"When request is valid, POST /api/v1/account/change-password returns 204 and valid response.","330","When request is valid, POST /api/v1/account/change-password returns 204 and valid response","Unit Tests","Mon Nov 03 16:21:17 GMT 2025","passed","Mon Nov 03 16:21:18 GMT 2025","POST /api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$ChangePasswordTests","ChangePasswordSuccess"
"When request body without old password, POST /api/v1/account/change-password returns 401.","201","When request body without old password, POST /api/v1/account/change-password returns 401","Unit Tests","Mon Nov 03 16:21:17 GMT 2025","failed","Mon Nov 03 16:21:17 GMT 2025","POST /api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$ChangePasswordTests","ChangePasswordWithoutOldPassword"
"When request with empty body, POST /api/v1/auth/login returns 400.","227","When request with empty body, POST /api/v1/auth/login returns 400","Unit Tests","Mon Nov 03 16:21:16 GMT 2025","failed","Mon Nov 03 16:21:16 GMT 2025","POST /api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithEmptyBody"
"When request without access token header, POST /api/v1/auth/logout returns 401.","105","When request without access token header, POST /api/v1/auth/logout returns 401","Unit Tests","Mon Nov 03 16:21:14 GMT 2025","failed","Mon Nov 03 16:21:14 GMT 2025","POST /api/v1/auth/logout","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LogoutTests","TestLogoutWithoutBearerToken"
"When request without invalid access token header, GET /api/v1/account/me returns 401.","82","When request without invalid access token header, GET /api/v1/account/me returns 401","Unit Tests","Mon Nov 03 16:21:18 GMT 2025","passed","Mon Nov 03 16:21:18 GMT 2025","GET /api/v1/account/me","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.AccountControllerTests$AccountMeTests","GetUserAccountInfoWithInvalidToken"
"When request is valid, POST /api/v1/auth/refresh returns 200.","1611","When request is valid, POST /api/v1/auth/refresh returns 200","Unit Tests","Mon Nov 03 16:21:12 GMT 2025","passed","Mon Nov 03 16:21:13 GMT 2025","POST /api/v1/auth/refresh","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshSuccess"
"When request with empty refresh token header, POST /api/v1/auth/refresh returns 401.","120","When request with empty refresh token header, POST /api/v1/auth/refresh returns 401","Unit Tests","Mon Nov 03 16:21:12 GMT 2025","failed","Mon Nov 03 16:21:12 GMT 2025","POST /api/v1/auth/refresh","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshWithEmptyRefreshToken"
"When request body without email, POST /api/v1/auth/login returns 400.","220","When request body without email, POST /api/v1/auth/login returns 400","Unit Tests","Mon Nov 03 16:21:14 GMT 2025","failed","Mon Nov 03 16:21:15 GMT 2025","POST /api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithoutEmail"
