"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"When request without access token header, /api/v1/account/me returns 401.","95","When request without access token header, /api/v1/account/me returns 401","Unit Tests","Tue Oct 21 22:22:43 GMT 2025","failed","Tue Oct 21 22:22:43 GMT 2025","/api/v1/account/me","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$AccountMeTests","GetUserAccountInfoWithoutToken"
"When request with invalid refresh token header, /api/v1/auth/refresh returns 401.","1125","When request with invalid refresh token header, /api/v1/auth/refresh returns 401","Unit Tests","Tue Oct 21 22:22:35 GMT 2025","failed","Tue Oct 21 22:22:36 GMT 2025","/api/v1/auth/refresh","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshWithInvalidRefreshToken"
"When request without invalid access token header, /api/v1/account/me returns 401.","87","When request without invalid access token header, /api/v1/account/me returns 401","Unit Tests","Tue Oct 21 22:22:43 GMT 2025","passed","Tue Oct 21 22:22:43 GMT 2025","/api/v1/account/me","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$AccountMeTests","GetUserAccountInfoWithInvalidToken"
"When request with invalid body, /api/v1/auth/login returns 400.","227","When request with invalid body, /api/v1/auth/login returns 400","Unit Tests","Tue Oct 21 22:22:39 GMT 2025","passed","Tue Oct 21 22:22:39 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithInvalidBody"
"When request with invalid access token, /api/v1/auth/logout returns 401.","119","When request with invalid access token, /api/v1/auth/logout returns 401","Unit Tests","Tue Oct 21 22:22:38 GMT 2025","passed","Tue Oct 21 22:22:38 GMT 2025","/api/v1/auth/logout","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LogoutTests","TestLogoutWithInvalidToken"
"When request is valid, /api/v1/account/recovery-password returns 204 and valid response.","175","When request is valid, /api/v1/account/recovery-password returns 204 and valid response","Unit Tests","Tue Oct 21 22:22:40 GMT 2025","passed","Tue Oct 21 22:22:41 GMT 2025","/api/v1/account/recovery-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$PasswordRecoveryTests","RecoverPasswordSuccess"
"When request body without old password, /api/v1/account/change-password returns 401.","227","When request body without old password, /api/v1/account/change-password returns 401","Unit Tests","Tue Oct 21 22:22:41 GMT 2025","failed","Tue Oct 21 22:22:41 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithoutOldPassword"
"When request body with invalid email, /api/v1/account/recovery-password returns 401.","105","When request body with invalid email, /api/v1/account/recovery-password returns 401","Unit Tests","Tue Oct 21 22:22:41 GMT 2025","failed","Tue Oct 21 22:22:41 GMT 2025","/api/v1/account/recovery-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$PasswordRecoveryTests","RecoverPasswordWithInvalidEmail"
"When request is valid, /api/v1/auth/logout returns 204.","250","When request is valid, /api/v1/auth/logout returns 204","Unit Tests","Tue Oct 21 22:22:38 GMT 2025","passed","Tue Oct 21 22:22:39 GMT 2025","/api/v1/auth/logout","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LogoutTests","TestLogoutSuccess"
"When request body without email, /api/v1/auth/login returns 400.","232","When request body without email, /api/v1/auth/login returns 400","Unit Tests","Tue Oct 21 22:22:39 GMT 2025","failed","Tue Oct 21 22:22:39 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithoutEmail"
