"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"When request without body, /api/v1/auth/login returns 400.","228","When request without body, /api/v1/auth/login returns 400","Unit Tests","Wed Oct 22 22:27:35 GMT 2025","passed","Wed Oct 22 22:27:35 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithoutBody"
"When request without access token header, /api/v1/account/me returns 401.","95","When request without access token header, /api/v1/account/me returns 401","Unit Tests","Wed Oct 22 22:27:39 GMT 2025","failed","Wed Oct 22 22:27:39 GMT 2025","/api/v1/account/me","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$AccountMeTests","GetUserAccountInfoWithoutToken"
"When request without access token header, /api/v1/account/change-password returns 401.","102","When request without access token header, /api/v1/account/change-password returns 401","Unit Tests","Wed Oct 22 22:27:37 GMT 2025","failed","Wed Oct 22 22:27:37 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithoutToken"
"When request with invalid body, /api/v1/auth/login returns 400.","229","When request with invalid body, /api/v1/auth/login returns 400","Unit Tests","Wed Oct 22 22:27:34 GMT 2025","passed","Wed Oct 22 22:27:35 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithInvalidBody"
"When request is valid, /api/v1/auth/login returns 200 and valid response.","240","When request is valid, /api/v1/auth/login returns 200 and valid response","Unit Tests","Wed Oct 22 22:27:34 GMT 2025","passed","Wed Oct 22 22:27:34 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginSuccess"
"When request without invalid access token header, /api/v1/account/me returns 401.","91","When request without invalid access token header, /api/v1/account/me returns 401","Unit Tests","Wed Oct 22 22:27:39 GMT 2025","passed","Wed Oct 22 22:27:39 GMT 2025","/api/v1/account/me","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$AccountMeTests","GetUserAccountInfoWithInvalidToken"
"When request body with empty email, /api/v1/account/recovery-password returns 401.","101","When request body with empty email, /api/v1/account/recovery-password returns 401","Unit Tests","Wed Oct 22 22:27:36 GMT 2025","failed","Wed Oct 22 22:27:36 GMT 2025","/api/v1/account/recovery-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$PasswordRecoveryTests","RecoverPasswordWithEmptyEmail"
"When request with invalid refresh token header, /api/v1/auth/refresh returns 401.","1070","When request with invalid refresh token header, /api/v1/auth/refresh returns 401","Unit Tests","Wed Oct 22 22:27:30 GMT 2025","failed","Wed Oct 22 22:27:31 GMT 2025","/api/v1/auth/refresh","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshWithInvalidRefreshToken"
"When request is valid, /api/v1/auth/logout returns 204.","233","When request is valid, /api/v1/auth/logout returns 204","Unit Tests","Wed Oct 22 22:27:34 GMT 2025","passed","Wed Oct 22 22:27:34 GMT 2025","/api/v1/auth/logout","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LogoutTests","TestLogoutSuccess"
"When request body with wrong password, /api/v1/auth/login returns 401.","305","When request body with wrong password, /api/v1/auth/login returns 401","Unit Tests","Wed Oct 22 22:27:35 GMT 2025","passed","Wed Oct 22 22:27:36 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithWrongPassword"
"When request is valid, /api/v1/account/change-password returns 204 and valid response.","365","When request is valid, /api/v1/account/change-password returns 204 and valid response","Unit Tests","Wed Oct 22 22:27:38 GMT 2025","passed","Wed Oct 22 22:27:38 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordSuccess"
"When request without access token header, /api/v1/auth/logout returns 401.","112","When request without access token header, /api/v1/auth/logout returns 401","Unit Tests","Wed Oct 22 22:27:34 GMT 2025","failed","Wed Oct 22 22:27:34 GMT 2025","/api/v1/auth/logout","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LogoutTests","TestLogoutWithoutBearerToken"
"When request without body, /api/v1/auth/refresh returns 400.","258","When request without body, /api/v1/auth/refresh returns 400","Unit Tests","Wed Oct 22 22:27:33 GMT 2025","passed","Wed Oct 22 22:27:33 GMT 2025","/api/v1/auth/refresh","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshWithoutBody"
"When request body with wrong email, /api/v1/auth/login returns 401.","302","When request body with wrong email, /api/v1/auth/login returns 401","Unit Tests","Wed Oct 22 22:27:35 GMT 2025","passed","Wed Oct 22 22:27:35 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithWrongEmail"
"When request without body, /api/v1/account/recovery-password returns 400.","99","When request without body, /api/v1/account/recovery-password returns 400","Unit Tests","Wed Oct 22 22:27:36 GMT 2025","passed","Wed Oct 22 22:27:36 GMT 2025","/api/v1/account/recovery-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$PasswordRecoveryTests","RecoverPasswordWithoutBody"
"When request is valid, /api/v1/auth/refresh returns 200.","1831","When request is valid, /api/v1/auth/refresh returns 200","Unit Tests","Wed Oct 22 22:27:31 GMT 2025","passed","Wed Oct 22 22:27:33 GMT 2025","/api/v1/auth/refresh","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshSuccess"
"When request body with invalid email, /api/v1/account/recovery-password returns 401.","99","When request body with invalid email, /api/v1/account/recovery-password returns 401","Unit Tests","Wed Oct 22 22:27:36 GMT 2025","failed","Wed Oct 22 22:27:37 GMT 2025","/api/v1/account/recovery-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$PasswordRecoveryTests","RecoverPasswordWithInvalidEmail"
"When request with invalid access token header, /api/v1/account/change-password returns 401.","91","When request with invalid access token header, /api/v1/account/change-password returns 401","Unit Tests","Wed Oct 22 22:27:39 GMT 2025","passed","Wed Oct 22 22:27:39 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithInvalidToken"
"When request body with empty old password, /api/v1/account/change-password returns 401.","309","When request body with empty old password, /api/v1/account/change-password returns 401","Unit Tests","Wed Oct 22 22:27:38 GMT 2025","passed","Wed Oct 22 22:27:38 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithEmptyOldPassword"
"When request without body, /api/v1/account/change-password returns 400.","227","When request without body, /api/v1/account/change-password returns 400","Unit Tests","Wed Oct 22 22:27:37 GMT 2025","passed","Wed Oct 22 22:27:37 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithoutBody"
"When request is valid, /api/v1/account/recovery-password returns 204 and valid response.","161","When request is valid, /api/v1/account/recovery-password returns 204 and valid response","Unit Tests","Wed Oct 22 22:27:36 GMT 2025","passed","Wed Oct 22 22:27:36 GMT 2025","/api/v1/account/recovery-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$PasswordRecoveryTests","RecoverPasswordSuccess"
"When request body without new password, /api/v1/account/change-password returns 401.","215","When request body without new password, /api/v1/account/change-password returns 401","Unit Tests","Wed Oct 22 22:27:38 GMT 2025","passed","Wed Oct 22 22:27:39 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithoutNewPassword"
"When request with empty body, /api/v1/auth/login returns 400.","219","When request with empty body, /api/v1/auth/login returns 400","Unit Tests","Wed Oct 22 22:27:36 GMT 2025","failed","Wed Oct 22 22:27:36 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithEmptyBody"
"When request with empty refresh token header, /api/v1/auth/refresh returns 401.","133","When request with empty refresh token header, /api/v1/auth/refresh returns 401","Unit Tests","Wed Oct 22 22:27:31 GMT 2025","failed","Wed Oct 22 22:27:31 GMT 2025","/api/v1/auth/refresh","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshWithEmptyRefreshToken"
"When request with invalid access token header, /api/v1/auth/login returns 401.","108","When request with invalid access token header , /api/v1/auth/login returns 401","Unit Tests","Wed Oct 22 22:27:35 GMT 2025","passed","Wed Oct 22 22:27:35 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithInvalidToken"
"When request body without old password, /api/v1/account/change-password returns 401.","222","When request body without old password, /api/v1/account/change-password returns 401","Unit Tests","Wed Oct 22 22:27:37 GMT 2025","failed","Wed Oct 22 22:27:37 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithoutOldPassword"
"When request body without email, /api/v1/auth/login returns 400.","261","When request body without email, /api/v1/auth/login returns 400","Unit Tests","Wed Oct 22 22:27:34 GMT 2025","failed","Wed Oct 22 22:27:34 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithoutEmail"
"When request with empty body, /api/v1/account/change-password returns 400.","214","When request with empty body, /api/v1/account/change-password returns 400","Unit Tests","Wed Oct 22 22:27:37 GMT 2025","failed","Wed Oct 22 22:27:37 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithEmptyBody"
"When request body with empty new password, /api/v1/account/change-password returns 401.","360","When request body with empty new password, /api/v1/account/change-password returns 401","Unit Tests","Wed Oct 22 22:27:37 GMT 2025","failed","Wed Oct 22 22:27:38 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithEmptyNewPassword"
"When request with empty body, /api/v1/account/recovery-password returns 400.","96","When request with empty body, /api/v1/account/recovery-password returns 400","Unit Tests","Wed Oct 22 22:27:36 GMT 2025","failed","Wed Oct 22 22:27:36 GMT 2025","/api/v1/account/recovery-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$PasswordRecoveryTests","RecoverPasswordWithEmptyBody"
"When request is valid, /api/v1/account/me returns 200 and valid response.","217","When request is valid, /api/v1/account/me returns 200 and valid response","Unit Tests","Wed Oct 22 22:27:39 GMT 2025","passed","Wed Oct 22 22:27:39 GMT 2025","/api/v1/account/me","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$AccountMeTests","GetUserAccountInfoSuccess"
"When request with invalid access token, /api/v1/auth/logout returns 401.","154","When request with invalid access token, /api/v1/auth/logout returns 401","Unit Tests","Wed Oct 22 22:27:33 GMT 2025","passed","Wed Oct 22 22:27:34 GMT 2025","/api/v1/auth/logout","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LogoutTests","TestLogoutWithInvalidToken"
